Date,Customer_ID,Dish,Quantity,Weekend,Event
2024-10-01,CUST1018,Egg Curry,1,0,0
2024-10-01,CUST1018,Fish Fry,1,0,0
2024-10-01,CUST1021,Caesar Salad,2,0,0
2024-10-01,CUST1021,Paneer Butter Masala,2,0,0
2024-10-01,CUST1021,Paneer Butter Masala,1,0,0
2024-10-01,CUST1021,Lassi,1,0,0
2024-10-01,CUST1021,Mutton Rogan Josh,1,0,0
2024-10-01,CUST1040,Cold Coffee,1,0,0
2024-10-01,CUST1040,Veg Pulao,1,0,0
2024-10-01,CUST1040,Mojito,1,0,0
2024-10-01,CUST1040,Pasta Alfredo,1,0,0
2024-10-01,CUST1046,French Fries,1,0,0
2024-10-01,CUST1046,Mojito,1,0,0
2024-10-01,CUST1046,Veg Burger,1,0,0
2024-10-01,CUST1046,Masala Dosa,1,0,0
2024-10-01,CUST1049,Veg Burger,1,0,0
2024-10-01,CUST1049,Dal Tadka,2,0,0
2024-10-01,CUST1062,Chicken Biryani,1,0,0
2024-10-01,CUST1062,Vegetable Manchurian,1,0,0
2024-10-01,CUST1069,Mojito,1,0,0
2024-10-01,CUST1069,Rasmalai,1,0,0
2024-10-01,CUST1069,French Fries,1,0,0
2024-10-01,CUST1069,Mutton Rogan Josh,1,0,0
2024-10-01,CUST1119,Caesar Salad,1,0,0
2024-10-01,CUST1119,Tomato Soup,1,0,0
2024-10-01,CUST1152,Rasmalai,1,0,0
2024-10-01,CUST1152,Egg Curry,1,0,0
2024-10-01,CUST1152,Hakka Noodles,1,0,0
2024-10-01,CUST1154,Pav Bhaji,1,0,0
2024-10-01,CUST1154,Dal Tadka,1,0,0
2024-10-01,CUST1168,Tandoori Chicken,2,0,0
2024-10-01,CUST1168,Tandoori Chicken,2,0,0
2024-10-01,CUST1168,Margarita Pizza,1,0,0
2024-10-01,CUST1212,Vegetable Manchurian,1,0,0
2024-10-01,CUST1212,Mojito,1,0,0
2024-10-01,CUST1218,French Fries,1,0,0
2024-10-01,CUST1218,Chicken Sandwich,1,0,0
2024-10-01,CUST1265,Vegetable Manchurian,1,0,0
2024-10-01,CUST1265,Veg Fried Rice,1,0,0
2024-10-01,CUST1265,Gulab Jamun,1,0,0
2024-10-02,CUST1002,Spring Rolls,1,0,0
2024-10-02,CUST1002,Vegetable Manchurian,2,0,0
2024-10-02,CUST1014,Chole Bhature,2,0,0
2024-10-02,CUST1014,Lassi,1,0,0
2024-10-02,CUST1014,Rasmalai,1,0,0
2024-10-02,CUST1016,Idli Sambhar,1,0,0
2024-10-02,CUST1016,Lassi,1,0,0
2024-10-02,CUST1016,Paneer Butter Masala,1,0,0
2024-10-02,CUST1016,Pasta Alfredo,1,0,0
2024-10-02,CUST1029,Fish Fry,1,0,0
2024-10-02,CUST1029,French Fries,1,0,0
2024-10-02,CUST1053,Margarita Pizza,1,0,0
2024-10-02,CUST1053,Pasta Alfredo,1,0,0
2024-10-02,CUST1056,Lassi,1,0,0
2024-10-02,CUST1056,Egg Curry,1,0,0
2024-10-02,CUST1056,Vegetable Manchurian,1,0,0
2024-10-02,CUST1062,Margarita Pizza,1,0,0
2024-10-02,CUST1077,Chicken Sandwich,1,0,0
2024-10-02,CUST1077,Caesar Salad,1,0,0
2024-10-02,CUST1116,Spring Rolls,2,0,0
2024-10-02,CUST1116,Paneer Butter Masala,1,0,0
2024-10-02,CUST1127,Pav Bhaji,2,0,0
2024-10-02,CUST1127,Veg Fried Rice,1,0,0
2024-10-02,CUST1127,Veg Pulao,1,0,0
2024-10-02,CUST1205,Chocolate Brownie,1,0,0
2024-10-02,CUST1205,Cold Coffee,1,0,0
2024-10-02,CUST1205,Egg Curry,1,0,0
2024-10-02,CUST1205,Cold Coffee,2,0,0
2024-10-02,CUST1212,Chole Bhature,1,0,0
2024-10-02,CUST1212,Mutton Rogan Josh,1,0,0
2024-10-02,CUST1224,Masala Dosa,1,0,0
2024-10-02,CUST1278,Lassi,2,0,0
2024-10-02,CUST1278,Rasmalai,2,0,0
2024-10-02,CUST1282,Lassi,1,0,0
2024-10-02,CUST1282,Pasta Alfredo,1,0,0
2024-10-03,CUST1022,Dal Tadka,1,0,0
2024-10-03,CUST1022,Margarita Pizza,1,0,0
2024-10-03,CUST1022,Mojito,1,0,0
2024-10-03,CUST1038,Paneer Butter Masala,1,0,0
2024-10-03,CUST1038,Rasmalai,1,0,0
2024-10-03,CUST1038,Tandoori Chicken,1,0,0
2024-10-03,CUST1050,Pav Bhaji,1,0,0
2024-10-03,CUST1050,Masala Dosa,1,0,0
2024-10-03,CUST1050,Mutton Rogan Josh,1,0,0
2024-10-03,CUST1072,Tomato Soup,1,0,0
2024-10-03,CUST1072,Hakka Noodles,1,0,0
2024-10-03,CUST1075,Veg Fried Rice,1,0,0
2024-10-03,CUST1075,Paneer Butter Masala,1,0,0
2024-10-03,CUST1075,Cold Coffee,1,0,0
2024-10-03,CUST1083,Rasmalai,1,0,0
2024-10-03,CUST1083,Spring Rolls,1,0,0
2024-10-03,CUST1104,Mutton Rogan Josh,1,0,0
2024-10-03,CUST1104,Mojito,1,0,0
2024-10-03,CUST1104,Margarita Pizza,1,0,0
