Customer_ID,Date,Items_Ordered,Total_Cost_INR,Season,Is_Event,Event_Name
CUST1018,2024-10-01,Egg Curry x1; Fish Fry x1,452,Unknown,No,
CUST1021,2024-10-01,Caesar Salad x2; Paneer Butter Masala x2; Paneer Butter Masala x1; Lassi x1; Mutton Rogan Josh x1,1701,Unknown,No,
CUST1040,2024-10-01,Cold Coffee x1; Veg Pulao x1; Mojito x1; Pasta Alfredo x1,747,Unknown,No,
CUST1046,2024-10-01,French Fries x1; Mojito x1; Veg Burger x1; Masala Dosa x1,587,Unknown,No,
CUST1049,2024-10-01,Veg Burger x1; Dal Tadka x2,539,Unknown,No,
CUST1062,2024-10-01,Chicken Biryani x1; Vegetable Manchurian x1,555,Unknown,No,
CUST1069,2024-10-01,Mojito x1; Rasmalai x1; French Fries x1; Mutton Rogan Josh x1,776,Unknown,No,
CUST1119,2024-10-01,Caesar Salad x1; Tomato Soup x1,326,Unknown,No,
CUST1152,2024-10-01,Rasmalai x1; Egg Curry x1; Hakka Noodles x1,529,Unknown,No,
CUST1154,2024-10-01,Pav Bhaji x1; Dal Tadka x1,339,Unknown,No,
CUST1168,2024-10-01,Tandoori Chicken x2; Tandoori Chicken x2; Margarita Pizza x1,1333,Unknown,No,
CUST1212,2024-10-01,Vegetable Manchurian x1,229,Unknown,No,
CUST1212,2024-10-01,Mojito x1,151,Unknown,No,
CUST1218,2024-10-01,French Fries x1; Chicken Sandwich x1,319,Unknown,No,
CUST1265,2024-10-01,Vegetable Manchurian x1; Veg Fried Rice x1; Gulab Jamun x1,535,Unknown,No,
CUST1002,2024-10-02,Spring Rolls x1; Vegetable Manchurian x2,619,Unknown,No,
CUST1014,2024-10-02,Chole Bhature x2; Lassi x1; Rasmalai x1,647,Unknown,No,
CUST1016,2024-10-02,Idli Sambhar x1; Lassi x1; Paneer Butter Masala x1; Pasta Alfredo x1,767,Unknown,No,
CUST1029,2024-10-02,Fish Fry x1; French Fries x1,378,Unknown,No,
CUST1053,2024-10-02,Margarita Pizza x1; Pasta Alfredo x1,566,Unknown,No,
CUST1056,2024-10-02,Lassi x1; Egg Curry x1; Vegetable Manchurian x1,524,Unknown,No,
CUST1062,2024-10-02,Margarita Pizza x1,292,Unknown,No,
CUST1077,2024-10-02,Chicken Sandwich x1; Caesar Salad x1,391,Unknown,No,
CUST1116,2024-10-02,Spring Rolls x2; Paneer Butter Masala x1,605,Unknown,No,
CUST1127,2024-10-02,Pav Bhaji x2; Veg Fried Rice x1; Veg Pulao x1,715,Unknown,No,
CUST1205,2024-10-02,Chocolate Brownie x1; Cold Coffee x1; Egg Curry x1; Cold Coffee x2,745,Unknown,No,
CUST1212,2024-10-02,Chole Bhature x1; Mutton Rogan Josh x1,594,Unknown,No,
CUST1224,2024-10-02,Masala Dosa x1,138,Unknown,No,
CUST1278,2024-10-02,Lassi x2; Rasmalai x2,443,Unknown,No,
CUST1282,2024-10-02,Lassi x1; Pasta Alfredo x1,376,Unknown,No,
CUST1022,2024-10-03,Dal Tadka x1; Margarita Pizza x1; Mojito x1,622,Unknown,No,
CUST1038,2024-10-03,Paneer Butter Masala x1; Rasmalai x1; Tandoori Chicken x1,661,Unknown,No,
CUST1050,2024-10-03,Pav Bhaji x1; Masala Dosa x1; Mutton Rogan Josh x1,684,Unknown,No,
CUST1072,2024-10-03,Tomato Soup x1; Hakka Noodles x1,355,Unknown,No,
CUST1075,2024-10-03,Veg Fried Rice x1; Paneer Butter Masala x1; Cold Coffee x1,617,Unknown,No,
CUST1083,2024-10-03,Rasmalai x1; Spring Rolls x1,282,Unknown,No,
CUST1104,2024-10-03,Mutton Rogan Josh x1; Mojito x1; Margarita Pizza x1,820,Unknown,No,
CUST1117,2024-10-03,Paneer Butter Masala x1; Idli Sambhar x1; Hakka Noodles x1; Egg Curry x1,816,Unknown,No,
CUST1148,2024-10-03,Mojito x1; French Fries x2,390,Unknown,No,
CUST1158,2024-10-03,Vegetable Manchurian x2,462,Unknown,No,
CUST1178,2024-10-03,Mutton Rogan Josh x1; Mojito x1; Egg Curry x1,724,Unknown,No,
CUST1200,2024-10-03,French Fries x1; Pav Bhaji x1,286,Unknown,No,
CUST1237,2024-10-03,Dal Tadka x1; Chicken Sandwich x1; Lassi x1; Egg Curry x1,669,Unknown,No,
CUST1251,2024-10-03,Vegetable Manchurian x1; Veg Pulao x1,425,Unknown,No,
CUST1264,2024-10-03,Spring Rolls x1; Chole Bhature x2,578,Unknown,No,
CUST1280,2024-10-03,Egg Curry x1; Tandoori Chicken x2,709,Unknown,No,
CUST1053,2024-10-04,Tandoori Chicken x1; Dal Tadka x1,448,Unknown,No,
CUST1053,2024-10-04,Cold Coffee x2; Fish Fry x1; French Fries x1; Cold Coffee x1; Veg Burger x1; Butter Naan x1,997,Unknown,No,
CUST1064,2024-10-04,Spring Rolls x1; Veg Pulao x1; Paneer Butter Masala x1,627,Unknown,No,
CUST1163,2024-10-04,Fish Fry x2; Margarita Pizza x1; Idli Sambhar x1,928,Unknown,No,
CUST1210,2024-10-04,Egg Curry x1,189,Unknown,No,
CUST1215,2024-10-04,Margarita Pizza x1; Chicken Biryani x1,618,Unknown,No,
CUST1217,2024-10-04,Chicken Sandwich x1,198,Unknown,No,
CUST1222,2024-10-04,Veg Pulao x1; Egg Curry x2; Vegetable Manchurian x1,802,Unknown,No,
CUST1222,2024-10-04,Vegetable Manchurian x1; Mutton Rogan Josh x1,616,Unknown,No,
CUST1226,2024-10-04,Veg Burger x1,186,Unknown,No,
CUST1240,2024-10-04,Dal Tadka x1; Hakka Noodles x1; Pav Bhaji x1,559,Unknown,No,
CUST1272,2024-10-04,Pav Bhaji x1; French Fries x1,284,Unknown,No,
CUST1276,2024-10-04,Vegetable Manchurian x1; Chole Bhature x1,438,Unknown,No,
CUST1283,2024-10-04,Veg Fried Rice x1; Veg Fried Rice x1,407,Unknown,No,
CUST1004,2024-10-05,Chole Bhature x1; Cold Coffee x1; Pasta Alfredo x1,614,Unknown,No,
CUST1009,2024-10-05,Pav Bhaji x1; Cold Coffee x1; Hakka Noodles x2; Fish Fry x1,991,Unknown,No,
CUST1016,2024-10-05,French Fries x1; Chicken Sandwich x2,526,Unknown,No,
CUST1048,2024-10-05,Chocolate Brownie x1; Tandoori Chicken x1; Mojito x1; Vegetable Manchurian x1; Cold Coffee x1,927,Unknown,No,
CUST1056,2024-10-05,Mutton Rogan Josh x1; Pav Bhaji x1; Mojito x1,691,Unknown,No,
CUST1073,2024-10-05,Chicken Sandwich x1; Veg Burger x1,387,Unknown,No,
CUST1081,2024-10-05,Veg Fried Rice x1; Idli Sambhar x1,321,Unknown,No,
CUST1093,2024-10-05,Spring Rolls x1; Pav Bhaji x1,320,Unknown,No,
CUST1122,2024-10-05,Veg Pulao x1; Mutton Rogan Josh x1; Margarita Pizza x2; Dal Tadka x1,1336,Unknown,No,
CUST1135,2024-10-05,Lassi x1; Chicken Sandwich x2; Mutton Rogan Josh x2,1264,Unknown,No,
CUST1157,2024-10-05,Hakka Noodles x1,222,Unknown,No,
CUST1161,2024-10-05,Paneer Butter Masala x1; Mutton Rogan Josh x1; Margarita Pizza x1,947,Unknown,No,
CUST1173,2024-10-05,Fish Fry x1; Egg Curry x1; Idli Sambhar x1,573,Unknown,No,
CUST1201,2024-10-05,Chicken Sandwich x1,207,Unknown,No,
CUST1217,2024-10-05,Masala Dosa x1; Margarita Pizza x1; Mutton Rogan Josh x2,1197,Unknown,No,
CUST1218,2024-10-05,Butter Naan x1; Dal Tadka x1,228,Unknown,No,
CUST1239,2024-10-05,Mutton Rogan Josh x1; Veg Fried Rice x2,785,Unknown,No,
CUST1249,2024-10-05,Margarita Pizza x1; Mojito x1; Veg Burger x1,625,Unknown,No,
